GATE_DS_SB: 864.4879><642.4308><718.179><541.7598><2><0
Connection: SB_D01,SB_D07,2,65,40,11,2,0
Connection: SB_D02,SB_E03,3,5,251,6,2,0
Connection: SB_D03,SB_D07,14,3,37,145,3,1
Connection: SB_D04,SB_S04,2,146,11,13,1,2
Connection: SB_D04,SB_F02,3,10,98,97,2,0
Connection: SB_D05,SB_E03,10,3,141,7,2,0
Connection: SB_D06,SB_I01,23,144,13,16,3,3
Connection: SB_D06,SB_E05,26,15,224,17,3,1
Connection: SB_DP1,SB_DP2,55,7,3,7,0,2
Connection: SB_E01,SB_E06,245,5,5,7,0,2
Connection: SB_E02,SB_G02,247,26,3,25,0,2
Connection: SB_E02,SB_J01,4,7,239,43,2,0
Connection: SB_E02,SB_J02,11,2,7,69,3,1
Connection: SB_E04,SB_H02,5,12,199,47,2,0
Connection: SB_E04,SB_G03,244,12,6,5,0,2
Connection: SB_F01,SB_G03,95,94,174,7,0,3
Connection: SB_F01,SB_J03,70,73,4,19,3,2
Connection: SB_F01,SB_I01,10,12,146,115,3,1
Connection: SB_F02,SB_I01,10,12,68,117,3,1
Connection: SB_F03,SB_H03,41,16,130,75,3,2
Connection: SB_G02,SB_S05,354,7,14,6,0,2
Connection: SB_G03,SB_J01,347,5,10,8,0,2
Connection: SB_H02,SB_H03,6,47,196,9,2,0
Connection: SB_H03,SB_S06,4,9,35,4,2,0
Connection: SB_I01,SB_S01,84,117,32,25,1,0
Connection: SB_J02,SB_J03,232,68,500,34,1,1
Connection: SB_J03,SB_S02,423,10,11,17,2,1
